level,artist,album,year,sources,spotifyName,spotifyArtists,albumType,releaseDate,label,flags,spotifyUrl
"B","James Brown","Live at the Apollo","1963","apex:hall","'Live' At The Apollo (Vol. II)","James Brown & The Famous Flames","","","","長名包短名 +5字 ×1.33","https://open.spotify.com/album/3jbnkGDaYChChu5Cs8LEvD"
"B","John Lennon","John Lennon/Plastic Ono Band","1970","apex:hall","Plastic Ono Band","John Lennon","","","","卡池名被截短 -10字","https://open.spotify.com/album/0DFYbYCcHCEJPcN1hODG6K"
"B","Meat Puppets","Meat Puppets II","1984","seed","II","Meat Puppets","","","","卡池名被截短 -11字","https://open.spotify.com/album/00ZKth0dl5axbKIriIQLkR"
"B","Pretty Lights","Filling Up the City Skies","2008","seed","Filling up the City Skies (Disc 1)","Pretty Lights","","","","長名包短名 +5字 ×1.24","https://open.spotify.com/album/48DZzoUru3KKjcgZD6ZjTg"
"B","Sheena Ringo","Kalk Samen Kuri no Hana","2003","seed","加爾基 精液 栗ノ花","Sheena Ringo","","","","跨語言配對（需人工確認）","https://open.spotify.com/album/2i4fy6a51XTaZOYA8rIdRK"
"B","The Adverts","Crossing the Red Sea with The Adverts","1978","seed","Crossing the Red Sea","The Adverts","","","","卡池名被截短 -14字","https://open.spotify.com/album/2npR50t6uIXjLKgeMJ4Vp3"
"B","The Beatles","The Beatles (White Album)","2000","apex:hall","The Beatles","The Beatles","","","","卡池名被截短 -10字","https://open.spotify.com/album/1WMVvswNzB9i2UMh9svso5"
"B","The Olivia Tremor Control","Black Foliage: Animation Music Volume One","1999","seed","Black Foliage: Animation Music","The Olivia Tremor Control","","","","卡池名被截短 -9字","https://open.spotify.com/album/1eQT6Xkw0Y5DlZ9gQMIkcQ"
"B","The Pastels","Up for a Bit with The Pastels","1987","seed","Up for a Bit With…","The Pastels","","","","卡池名被截短 -10字","https://open.spotify.com/album/78kGOcLIdcDZzutkEutUhT"
"B","The Velvet Underground","Loaded","1970","apex:hall","Loaded: Re-Loaded 45th Anniversary Edition","The Velvet Underground","","","","長名包短名 +2字 ×1.33","https://open.spotify.com/album/2ny1rPsLOoKNFZhMLubMrs"
"B","Tim Hecker","Haunt Me, Haunt Me Do It Again","2001","seed","Haunt Me","Tim Hecker","","","","卡池名被截短 -16字","https://open.spotify.com/album/5MZRB9G4snRWIG0otfxJYq"
"B","Tito Puente","The King and I / El Rey y yo","1967","seed","The King","Tito Puente","","","","卡池名被截短 -12字","https://open.spotify.com/album/7xgkOmB7syD8a5Srn3Z5va"
"B","Toshifumi Hinata","Reality in Love","1986","seed","ひとつぶの海","Toshifumi Hinata","","","","跨語言配對（需人工確認）","https://open.spotify.com/album/0k4j3uetJHFATIt4VxwCPz"
"B","Weezer","Weezer (Blue Album)","1994","apex:hall","Weezer","Weezer","","","","卡池名被截短 -9字","https://open.spotify.com/album/1xpGyKyV26uPstk1Elgp9Q"
"C","Alice Coltrane","Ptah, the El Daoud","1970","seed","Ptah The El Daoud","Alice Coltrane","album","1996-01-01","","年份差 26 年","https://open.spotify.com/album/6XyhwP7a50E4u83H9aM8sD"
"C","Antisect","In Darkness, There Is No Choice","1983","seed","In Darkness There Is No Choice","Antisect","album","2024-10-04","","年份差 41 年","https://open.spotify.com/album/3jAEe5jn7kYTppXnkSbnlX"
"C","Bert Jansch","Bert Jansch","1965","seed","Bert Jansch","Bert Jansch","album","2015-04-13","","年份差 50 年","https://open.spotify.com/album/4cpVufUPv5g1vE2j10KJ2j"
"C","Bill Evans & Jim Hall","Undercurrent","1962","seed","Undercurrent","Bill Evans and Jim Hall","album","2018-04-18","","年份差 56 年","https://open.spotify.com/album/2arDbD6DimfZ2yjTlIDZIX"
"C","Buddy Holly","The ""Chirping"" Crickets","1962","seed","The ""Chirping"" Crickets","Buddy Holly & The Crickets","album","1957-11-27","","年份差 5 年","https://open.spotify.com/album/1KfXNUbZrdwHMtkAGNBLBq"
"C","Cal Tjader","Soul Sauce","1965","seed","Soul Sauce","Cal Tjader","compilation","1995-01-01","","合輯且年份差 30 年","https://open.spotify.com/album/1F3ZdAeTsfMzczAZnbwvUC"
"C","Can","Monster Movie","1969","seed","Monster Movie","CAN","album","2020-01-01","","年份差 51 年","https://open.spotify.com/album/7j744JJSY3f28jP9aArruk"
"C","Cannibal Ox","The Cold Vein","2001","seed","The Cold Vein (Deluxe Edition)","Cannibal Ox","album","2013-12-03","","年份差 12 年","https://open.spotify.com/album/4fcXf7no3MntdfUr4HKbIc"
"C","Carmen McRae","The Great American Songbook","1972","seed","The Great American Songbook","Carmen McRae","album","2004-09-14","","年份差 32 年","https://open.spotify.com/album/01LjoVd39soQ63i3NKQiZO"
"C","Cecil McBee","Mutima","1974","seed","Mutima","Cecil McBee","album","2025-04-25","","年份差 51 年","https://open.spotify.com/album/7wDmWvv8Xvba60r9arvLg2"
"C","Cecil Taylor","Conquistador!","1967","seed","Conquistador!","Cecil Taylor","album","2004-01-01","","年份差 37 年","https://open.spotify.com/album/69OZHsomLpQigZdQuTWHqx"
"C","Dinah Washington","What a Diff'rence a Day Makes!","1959","seed","What a Diff'rence a Day Makes","Dinah Washington","album","2018-05-17","","年份差 59 年","https://open.spotify.com/album/2NhzduyLqoRQmJzkjvcOoY"
"C","Dr. Feelgood","Down by the Jetty","1975","seed","Down By The Jetty","Dr. Feelgood","album","2006-06-23","","年份差 31 年","https://open.spotify.com/album/4p2xgk0fXOFdOLGMnnHOGE"
"C","Ennio Morricone","The Good, the Bad and the Ugly","2004","seed","The Good, The Bad and The Ugly (Original Motion Picture Soundtrack) [Remastered Edition]","Ennio Morricone","album","1966","","年份差 38 年","https://open.spotify.com/album/1pDYxCrFTy971V4zaN5Anq"
"C","Grachan Moncur III","Evolution","1963","seed","Evolution (Remastered)","Grachan Moncur III","album","2008-01-01","","年份差 45 年","https://open.spotify.com/album/4lybhjIqqPtLb5xV8sXg3x"
"C","Harmonia","Musik von Harmonia","1974","seed","Musik von Harmonia","Harmonia","album","2015-06-26","","年份差 41 年","https://open.spotify.com/album/1Zoy7EKAF9X2YVHgeVvkxm"
"C","Jacques Brel","Ces gens-là","1965","seed","Ces gens-là","Jacques Brel","compilation","2010-01-01","","合輯且年份差 45 年","https://open.spotify.com/album/3R3K0YDT2fOWQf5hC2wHfv"
"C","John Barry","Goldfinger","1964","seed","Goldfinger","John Barry","compilation","2019-10-11","","合輯且年份差 55 年","https://open.spotify.com/album/6uE1Z9ZZnuoMnZbyE9TyJQ"
"C","John Cale","Paris 1919","1973","seed","Paris 1919 (Deluxe Edition)","John Cale","album","2024-11-15","","年份差 51 年","https://open.spotify.com/album/6oNqOeW4FADs5D8fEXOT2n"
"C","Karen Dalton","In My Own Time","1971","seed","In My Own Time","Karen Dalton","album","2006-11-14","","年份差 35 年","https://open.spotify.com/album/6Ai4Saejkb08NrsC7182Px"
"C","Kenny Burrell","Midnight Blue","1963","seed","Midnight Blue","Kenny Burrell","album","2001-09-20","","年份差 38 年","https://open.spotify.com/album/1uSzUDw4g2PVPcb28mM9RW"
"C","Kiss","Alive!","1975","seed","Alive! (50th Anniversary Super Deluxe)","KISS","album","2025-11-21","","年份差 50 年","https://open.spotify.com/album/0Fi7Ed5PN1FdMd3riOl6kU"
"C","Kraftwerk","Autobahn","1974","seed","Autobahn","Kraftwerk","single","2019-03-22","","年份差 45 年","https://open.spotify.com/album/5orxiTjaRqcY5bUDpM7rEw"
"C","Lalo Schifrin","Bullitt","1968","seed","Bullitt","Lalo Schifrin","album","1999","","年份差 31 年","https://open.spotify.com/album/05ALFsmsEf0322hTZ0AmSU"
"C","Lightnin' Hopkins","Lightnin' Hopkins","1959","seed","Lightnin' Hopkins","Lightnin' Hopkins","album","1969-09-03","","年份差 10 年","https://open.spotify.com/album/5o4NgOTmfIQYBV7pd4jcoc"
"C","Loretta Lynn","Coal Miner's Daughter","1970","seed","Coal Miner's Daughter (Live On The Ed Sullivan Show, May 30, 1971)","Loretta Lynn","single","2020-11-28","","年份差 50 年","https://open.spotify.com/album/11XBy309urGhiJu30pn8GU"
"C","Merle Haggard","Mama Tried","1968","seed","Mama Tried","Merle Haggard","compilation","2009-10-19","","合輯且年份差 41 年","https://open.spotify.com/album/3dzdoR22rXWyFDncCeWzPL"
"C","Miles Davis","Sketches of Spain","1960","seed","Sketches of Spain","Miles Davis","album","2011-12-01","","年份差 51 年","https://open.spotify.com/album/6sDMUOIDqU42TTdhvMLGfx"
"C","Mississippi John Hurt","Today!","1966","seed","Today! (Remastered 2025)","Mississippi John Hurt","album","2025-03-14","","年份差 59 年","https://open.spotify.com/album/4X0zM730YRWGRJ9cE0nLSF"
"C","Ornette Coleman","Dancing in Your Head","1977","seed","Dancing in Your Head","Ornette Coleman Quartet, Joe Lovano","album","2021-08-18","","年份差 44 年","https://open.spotify.com/album/2GUaxvV3Ziln8TLjK7YLIz"
"C","Pharoah Sanders","Black Unity","1972","seed","Black Unity","Pharoah Sanders","album","1997-01-01","","年份差 25 年","https://open.spotify.com/album/3luFuzmpqNIeQQM485wkI8"
"C","Pharoah Sanders","Tauhid","1967","seed","Tauhid","Pharoah Sanders","album","1993-01-01","","年份差 26 年","https://open.spotify.com/album/4RTqDJ4oYVxpgd8Hbt73Bt"
"C","Poison Girls","Chappaquiddick Bridge","1980","seed","Chappaquiddick Bridge","Poison Girls","album","2004","","年份差 24 年","https://open.spotify.com/album/4uUQ9DkNinEL4RQSz0zCUO"
"C","Queen","Queen II","1974","seed","Queen II","Queen","album","2026-03-27","","年份差 52 年","https://open.spotify.com/album/1HFobzrUk120xHeop7rC5D"
"C","Red Garland","Groovy","1957","seed","Groovy (Original Jazz Classics Series / Remastered 2024)","Red Garland Trio","album","2024-04-26","","年份差 67 年","https://open.spotify.com/album/5OxORetCTY3jS2lqfmGw6c"
"C","Robert Johnson","King of the Delta Blues Singers","1961","seed","King Of The Delta Blues Singers","Robert Johnson","album","1937","","年份差 24 年","https://open.spotify.com/album/2IWaNq5o4tG1w6yxve5BMU"
"C","Rory Gallagher","Irish Tour '74","1974","seed","Irish Tour '74 (Live / 40th Anniversary Edition)","Rory Gallagher","compilation","2014-10-20","","合輯且年份差 40 年","https://open.spotify.com/album/4cOFLBwDDL6TUc1c83aiWf"
"C","Sagittarius","Present Tense","1968","seed","Present Tense (Expanded Edition)","Sagittarius","album","1997-11-21","","年份差 29 年","https://open.spotify.com/album/1LZjP2FECZ5fB7XnBtY9a5"
"C","Sarah Vaughan","Sarah Vaughan with Clifford Brown","1990","seed","Sarah Vaughan-With Clifford Brown","Sarah Vaughan, Clifford Brown","album","2019-09-06","","年份差 29 年","https://open.spotify.com/album/0zS4qXKUJCLff2H4OcAT8P"
"C","Skip James","Today!","1966","seed","Today! (Remastered 2024)","Skip James","album","2024-06-07","","年份差 58 年","https://open.spotify.com/album/4Ew86zLkbP8kZJ5DcPwCi6"
"C","Slade","Slade Alive!","1972","seed","Slade Alive! (Live) (2009 Remaster)","Slade","album","2009-09-28","","年份差 37 年","https://open.spotify.com/album/3G6qwhePOllbUrI97rNF9m"
"C","Steeleye Span","Please to See the King","1971","seed","Please to See the King","Steeleye Span","compilation","2012-01-30","","合輯且年份差 41 年","https://open.spotify.com/album/5tG8yJ8DAT6vg4SpkGEwbC"
"C","Sun Ra","Space Is the Place","1973","seed","Space is the Place","Sun Ra","album","1998-01-01","","年份差 25 年","https://open.spotify.com/album/2FbVN08tPRbCfe8wLe3lRj"
"C","Sun Ra Arkestra","Sleeping Beauty","1979","seed","Sleeping Beauty","Sun Ra","album","2025-07-18","","年份差 46 年","https://open.spotify.com/album/4X5jPAbEzFmD2r0HS3lIbk"
"C","Syd Barrett","The Madcap Laughs","1970","seed","The Madcap Laughs","Syd Barrett","album","2016-05-13","","年份差 46 年","https://open.spotify.com/album/2sKUa8zDgmnn1pHzIou05r"
"C","The 13th Floor Elevators","The Psychedelic Sounds of the 13th Floor Elevators","1966","seed","The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster","13th Floor Elevators","album","2010","","年份差 44 年","https://open.spotify.com/album/2afQ7u8n1CzNBAHjl6OQCG"
"C","The 13th Floor Elevators","Easter Everywhere","1967","seed","Easter Everywhere","13th Floor Elevators","album","2010","","年份差 43 年","https://open.spotify.com/album/5RQNjPQbqY82MBTwaQp3ik"
"C","The Free Design","Kites Are Fun","1967","seed","Kites Are Fun","The Free Design","album","2003","","年份差 36 年","https://open.spotify.com/album/1muKamrtoFWpMduKdeFu4N"
"C","The Guess Who","American Woman","1970","seed","American Woman","The Guess Who","album","2012-03-06","","年份差 42 年","https://open.spotify.com/album/5tqWaJWQmPj6PM6prggh2j"
"C","The Lightmen","Energy Control Center","1973","seed","Energy Control Center","Bubbha Thomas & The Lightmen","album","2018-04-19","","年份差 45 年","https://open.spotify.com/album/2iccXt78iAacXm16NNSJjX"
"C","The Mob","Let the Tribe Increase","1983","seed","Let The Tribe Increase","The Mob","compilation","2009-04-06","","合輯且年份差 26 年","https://open.spotify.com/album/0xFCCDHJprCFKMnN2KQL8e"
"C","The Monkees","Headquarters","1967","seed","Headquarters","The Monkees","album","2019-10-04","","年份差 52 年","https://open.spotify.com/album/1XBC1NVZsxOvZFwG5stJ8o"
"C","The Small Faces","Ogdens' Nut Gone Flake","1968","seed","Ogdens' Nut Gone Flake - 50th Anniversary Edition (2018 Remaster)","Small Faces","album","2018-10-19","","年份差 50 年","https://open.spotify.com/album/2pM93DS0vpM3wt6ooVx5LS"
"C","Themselves","The No Music","2002","seed","The No Music","Themselves","album","2019-11-22","","年份差 17 年","https://open.spotify.com/album/1xTroqoFJeEkFUUNJ2AGjs"
"C","Van der Graaf Generator","Pawn Hearts","1971","seed","Pawn Hearts","Van Der Graaf Generator","compilation","2005-01-01","","合輯且年份差 34 年","https://open.spotify.com/album/5Lrsef2F6ZHNC5yIUEJouw"
